time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-20T19:44:32.740Z,19.1620006561279,-155.484832763672,33.4099998474121,2.46,ml,43,156,,0.159999996,hv,hv73018227,2022-05-20T19:50:02.390Z,"4 km S of Pāhala, Hawaii",earthquake,0.66,0.850000024,3.66,15,automatic,hv,hv
2022-05-20T18:10:50.750Z,35.393,-117.7166667,8.82,2.49,ml,38,41,0.09084,0.15,ci,ci40023287,2022-05-20T18:21:42.940Z,"8km WNW of Johannesburg, CA",earthquake,0.22,0.64,0.238,25,automatic,ci,ci
2022-05-20T17:22:56.384Z,-16.7724,-177.0681,405.44,4.4,mb,,111,2.652,0.64,us,us6000hmqc,2022-05-20T19:53:31.040Z,"294 km SSE of Alo, Wallis and Futuna",earthquake,11,6,0.06,81,reviewed,us,us
2022-05-20T17:08:27.870Z,38.236,-112.2551667,9.1,2.46,ml,26,54,0.2694,0.17,uu,uu60499062,2022-05-20T20:05:46.136Z,"3 km W of Junction, Utah",earthquake,0.38,1.07,0.187,19,reviewed,uu,uu
2022-05-20T16:32:03.236Z,59.6729,-149.8876,21.3,2.5,ml,,,,0.79,ak,ak0226fsye0l,2022-05-20T18:24:54.040Z,"51 km SSW of Lowell Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-05-20T16:20:35.540Z,40.4864998,-124.2988358,18.22,3.3,ml,17,127,0.03144,0.08,nc,nc73736021,2022-05-20T18:34:41.372Z,"10km SSW of Ferndale, CA",earthquake,0.79,0.41,0.326,11,automatic,nc,nc
2022-05-20T15:51:58.629Z,30.8305,-105.4618,8.5,3.1,ml,,175,0.412,1.04,us,us6000hmpf,2022-05-20T18:04:09.040Z,"39 km SSW of Sierra Blanca, Texas",earthquake,2.9,8.6,0.062,34,reviewed,us,us
2022-05-20T15:06:52.045Z,60.156,-153.4161,127.3,2.7,ml,,,,0.77,ak,ak0226fs7hgh,2022-05-20T17:56:43.040Z,"50 km E of Port Alsworth, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-05-20T12:35:49.570Z,35.4993,-3.4919,10,5.5,mww,,59,2.402,0.45,us,us6000hmld,2022-05-20T19:48:49.133Z,"48 km NE of Al Hoceïma, Morocco",earthquake,6.4,1.8,0.046,45,reviewed,us,us
2022-05-20T12:31:06.321Z,4.2989,126.2709,82.77,4.6,mb,,69,2.837,0.59,us,us6000hmlc,2022-05-20T13:23:18.040Z,"151 km SE of Sarangani, Philippines",earthquake,3.4,7.6,0.094,34,reviewed,us,us
2022-05-20T11:53:55.270Z,33.2318333,-116.2773333,10.62,2.53,ml,111,18,0.04367,0.19,ci,ci40023071,2022-05-20T20:16:59.980Z,"10km ESE of Borrego Springs, CA",earthquake,0.1,0.26,0.165,24,reviewed,ci,ci
2022-05-20T10:44:48.073Z,9.5863,-84.8275,11.05,4.4,mb,,196,0.71,0.85,us,us6000hml1,2022-05-20T11:05:05.040Z,"21 km W of Jacó, Costa Rica",earthquake,3.4,6.8,0.202,11,reviewed,us,us
2022-05-20T09:40:10.940Z,17.9153,-66.8736,13,3.66,md,23,195,0.0601,0.15,pr,pr2022140000,2022-05-20T14:55:46.540Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,0.57,0.38,0.1,12,reviewed,pr,pr
2022-05-20T09:11:23.983Z,31.99363147,-103.8257321,8.316748047,2.6,ml,11,79,0.08818998995,0.1,tx,tx2022jurc,2022-05-20T17:31:17.340Z,"34 km SE of Malaga, New Mexico",earthquake,1.645368008,2.337295251,0.1,7,reviewed,tx,tx
2022-05-20T09:07:45.455Z,-29.5388,-72.0423,10,5.8,mww,,94,0.795,0.72,us,us6000hmkd,2022-05-20T18:20:43.126Z,"82 km NW of Coquimbo, Chile",earthquake,4.4,1.8,0.05,38,reviewed,us,us
2022-05-20T08:16:49.080Z,37.9438333,-118.5413333,9.38,2.61,md,38,73,0.1786,0.13,nc,nc73735931,2022-05-20T16:37:44.581Z,"40km S of Qualeys Camp, NV",earthquake,0.3,1.58,0.118,31,reviewed,nc,nc
2022-05-20T06:57:33.628Z,-30.1233,-177.5843,26.23,5,mb,,89,0.906,0.93,us,us6000hmk3,2022-05-20T10:03:32.778Z,"Kermadec Islands, New Zealand",earthquake,9.5,5.7,0.118,23,reviewed,us,us
2022-05-20T06:32:46.437Z,11.4441,-87.3349,10,4.3,mb,,173,1.258,0.59,us,us6000hmjv,2022-05-20T07:19:16.040Z,"97 km WSW of Masachapa, Nicaragua",earthquake,6.5,2,0.116,21,reviewed,us,us
2022-05-20T06:25:57.598Z,13.1375,-89.1208,67.46,4.4,mb,,137,0.599,0.99,us,us6000hmjk,2022-05-20T09:37:30.656Z,"41 km SSW of El Rosario, El Salvador",earthquake,5.7,7.7,0.062,77,reviewed,us,us
2022-05-20T06:24:44.640Z,17.971,-66.7551666666667,13.6,2.64,md,9,212,,0.16,pr,pr71349473,2022-05-20T07:22:10.300Z,"4 km WSW of Tallaboa, Puerto Rico",earthquake,0.86,0.4,0.126013184517241,8,reviewed,pr,pr
